country,code,percent_emissions,percent_gdp,score,rounded_score
Afghanistan,AFG,0.030800765973514575,0.054555755426413804,0.5645740899887168,1.0
Albania,ALB,0.01356636189551474,0.028865766063257012,0.46998101023146743,0.0
Algeria,DZA,0.4313455781212072,0.4909123398568909,0.8786611032164146,1.0
Angola,AGO,0.08328613426113224,0.15406291516785406,0.5405981976284859,1.0
Antigua and Barbuda,ATG,0.001672195700838795,0.0018642549058758631,0.896978034263595,1.0
Argentina,ARG,0.5663079537179383,0.7132403098366132,0.7939931968338501,1.0
Armenia,ARM,0.013026943927502225,0.022011353072339233,0.591828402583422,1.0
Aruba,ABW,0.0025892062464600695,0.003229803148866082,0.8016606979187221,1.0
Australia,AUS,1.0849043881651697,0.949064974011949,1.1431297307064145,1.0
Austria,AUT,0.19486474094452086,0.36826660865646826,0.5291404009053055,1.0
Azerbaijan,AZE,0.08776330339563611,0.13417059659863417,0.6541172628021952,1.0
Bahamas,BHS,0.008091269520187717,0.00936691242764911,0.8638139389778035,1.0
Bahrain,BHR,0.09647490357903822,0.05532330367406555,1.7438384400797038,2.0
Bangladesh,BGD,0.2280389459772905,0.496010503989496,0.45974620324193716,0.0
Barbados,BRB,0.008549774792998354,0.004119828617155998,2.0752743833554024,2.0
Belarus,BLR,0.16813658062950076,0.13958885271883958,1.2045129489541841,1.0
Belgium,BEL,0.2810907031313213,0.43668316331683665,0.6436948495936747,1.0
Belize,BLZ,0.0011867195296275319,0.0024816480402134983,0.4781981612208947,0.0
Benin,BEN,0.019149337864444265,0.019766007867115208,0.9688014895664946,1.0
Bermuda,BMU,0.001159748631226906,0.002653678492459969,0.4370343410183858,0.0
Bhutan,BTN,0.00391078026809073,0.005892723609114852,0.6636625994203332,1.0
Bolivia,BOL,0.05518245812768023,0.0650465853045147,0.8483528823126427,1.0
Bosnia and Herzegovina,BIH,0.0690994417024031,0.03576431649172966,1.9320777937523856,2.0
Botswana,BWA,0.021333980634894948,0.03046924826862865,0.7001807345821709,1.0
Brazil,BRA,1.329098902284435,2.528990855624529,0.5255451593778961,1.0
Brunei,BRN,0.01809747282681986,0.026313218586312182,0.687771158342216,1.0
Bulgaria,BGR,0.1336947433719017,0.11516163868451516,1.1609312345594345,1.0
Burkina Faso,BFA,0.009170105456212746,0.027827758424556964,0.3295308704462688,0.0
Burundi,BDI,0.0007821560536181459,0.006207696058673172,0.1259978011528682,0.0
Cambodia,KHM,0.028481268711060766,0.049997064033159046,0.569658824209586,1.0
Cameroon,CMR,0.026350567737411332,0.06956433906676093,0.37879419384869994,0.0
Canada,CAN,1.6649135582706258,1.3264239043453263,1.2551896515257432,1.0
Cape Verde,CPV,0.0025892062464600695,0.00293442223007777,0.8823564039015096,1.0
Cayman Islands,CYM,0.0013215740216306604,0.0035754065984010936,0.36962901568220596,0.0
Central African Republic,CAF,0.0013215740216306604,0.0029613945188131734,0.4462674639380039,0.0
Chad,TCD,0.002481322652857567,0.022510899691561847,0.11022760915183165,0.0
Chile,CHL,0.24360115435445154,0.347973398180448,0.7000568308619031,1.0
China,CHN,29.336839550125415,18.076495769658077,1.6229273595919045,2.0
Colombia,COL,0.2021468835126898,0.5511649949888512,0.3667629209956971,0.0
Comoros,COM,0.0005663888664131403,0.001739597741486874,0.3255861127579039,0.0
Republic of the Congo,COG,0.014860965018744773,0.022292635604018243,0.6666311369691114,1.0
Costa Rica,CRI,0.02195431129810934,0.06528582722879585,0.33627989764409194,0.0
Cote d'Ivoire,CIV,0.03371362300078216,0.07445770674601633,0.4527888982101362,0.0
Croatia,HRV,0.04711815950589314,0.08426266189118427,0.5591819490196136,1.0
Curacao,CUW,0.020282115597270542,0.003437956697458687,5.899468021881409,6.0
Cyprus,CYP,0.018960541575639884,0.024143888078127305,0.7853143418444201,1.0
Czechia,CZE,0.29603258084526796,0.3129411947511129,0.9459687181187741,1.0
Democratic Republic of the Congo,COD,0.009439814440219003,0.0562004088040835,0.16796700666585027,0.0
Denmark,DNK,0.09054130593090057,0.24345947961744346,0.3718947648831392,0.0
Djibouti,DJI,0.0027240607384631985,0.001820104262195738,1.4966509309620237,1.0
Dominica,DMA,0.0003236507808075087,0.0005764884969661184,0.5614175868396042,1.0
Dominican Republic,DOM,0.062329746203846056,0.1343741502412344,0.463852207377304,0.0
Ecuador,ECU,0.10656201958087223,0.14998407309285,0.7104889031444248,1.0
Egypt,EGY,0.6976562289289856,0.8798101201898799,0.7929622686977253,1.0
El Salvador,SLV,0.02119912614289182,0.039569443980017556,0.5357448579160554,1.0
Equatorial Guinea,GNQ,0.006661811904954555,0.02405398829877324,0.27695248797033417,0.0
Eritrea,ERI,0.001995846481646304,0.00525108999479462,0.38008232264630326,0.0
Estonia,EST,0.04825093723871942,0.03423401915346546,1.409444126978443,1.0
Ethiopia,ETH,0.04018663861693233,0.15683497393425685,0.25623518535972745,0.0
Fiji,FJI,0.0038838093696901043,0.007034614346647192,0.5520998278379239,1.0
Finland,FIN,0.12635865900693152,0.19832495552119833,0.6371293954150185,1.0
North Macedonia,MKD,0.02171157321250371,0.024746695559889054,0.8773524190314583,1.0
France,FRA,0.9121288130107614,2.299052931716299,0.3967411104057683,0.0
Gabon,GAB,0.017692909350810474,0.028494580893149875,0.6209219015066779,1.0
Georgia,GEO,0.03117835855112334,0.030916356614328004,1.008474541164851,1.0
Germany,DEU,2.1483129703050405,3.376216854552376,0.6363077559453352,1.0
Ghana,GHA,0.05024678372036572,0.10084839915160085,0.49824076676548923,0.0
Greece,GRC,0.19459503196051464,0.2388002765843388,0.8148861246891735,1.0
Grenada,GRD,0.0007551851552175204,0.0012696302440312944,0.5948071564676009,1.0
Guatemala,GTM,0.04790031555951129,0.10732560036670732,0.4463083867767498,0.0
Guinea,GIN,0.007363055263370823,0.022831488600996014,0.322495628386211,0.0
Guinea-Bissau,GNB,0.0011058068344256546,0.0024638631078445846,0.44881017573781806,0.0
Guyana,GUY,0.004773849016910753,0.004902862119599419,0.9736861654393809,1.0
Haiti,HTI,0.009493756237020255,0.015517160590616334,0.6118230317704773,1.0
Honduras,HND,0.028481268711060766,0.03601800327628134,0.7907509056676754,1.0
Hong Kong,HKG,0.12058688674919761,0.35436824563175434,0.3402869422857566,0.0
Hungary,HUN,0.13717398926558244,0.21899885792421903,0.626368514273482,1.0
Iceland,ISL,0.011058068344256548,0.01475966355535183,0.7492086999670742,1.0
India,IND,6.620735226690401,7.455999005539455,0.8879742636461603,1.0
Indonesia,IDN,1.3791029479191952,2.5247177829745246,0.5462404381270645,1.0
Iran,IRN,1.8109609731100145,1.316929913839317,1.3751384595938156,1.0
Iraq,IRQ,0.5375300051244708,0.5081064072782081,1.05790833853853,1.0
Ireland,IRL,0.10494376567683468,0.28687312081918687,0.36581944441905256,0.0
Israel,ISR,0.18048925209698735,0.2631171676520631,0.6859653199659704,1.0
Italy,ITA,0.9741349084338,1.9290922619020612,0.5049706163215413,1.0
Jamaica,JAM,0.020363028292472423,0.02035717489764049,1.0002875347321702,1.0
Japan,JPN,3.562262318957844,4.133071251544133,0.8618923077183747,1.0
Jordan,JOR,0.06624052647193678,0.06936609795047897,0.954940935545004,1.0
Kazakhstan,KAZ,0.7179922863230573,0.3712414441431713,1.934030528246086,2.0
Kenya,KEN,0.050138900126763225,0.12712701902682713,0.3944000300690021,0.0
Kiribati,KIR,8.091269520187717e-05,0.0001975985369776169,0.4094802342136906,0.0
Kuwait,KWT,0.2620222779620789,0.22885023268822885,1.144950891612339,1.0
Kyrgyzstan,KGZ,0.03015346441189956,0.01797925428045341,1.6771254214187095,2.0
Laos,LAO,0.007605793348976454,0.037487254027953665,0.20289011681957103,0.0
Latvia,LVA,0.02171157321250371,0.042797589340626045,0.507308321496832,1.0
Lebanon,LBN,0.062302775305445424,0.067814791070832,0.9187195642963889,1.0
Lesotho,LSO,0.0020228173800469294,0.005087457190804347,0.39760872753940835,0.0
Liberia,LBR,0.0030477115192707066,0.0047251921880462735,0.644992076085448,1.0
Libya,LBY,0.15529843299080293,0.09743227179849744,1.5939116488218628,2.0
Lithuania,LTU,0.04129244545135799,0.07307107356288797,0.5650997506669997,1.0
Luxembourg,LUX,0.02573023707419694,0.049870596227265314,0.5159400332200094,1.0
Macao,MAC,0.003452274995280093,0.056115511214873404,0.061520868660732586,0.0
Madagascar,MDG,0.011219893734660301,0.03099945600599784,0.3619384073220334,0.0
Malawi,MWI,0.004234431048898239,0.017430213039863883,0.24293627617825758,0.0
Malaysia,MYS,0.6979529088113924,0.7250844903001251,0.9625814896723243,1.0
Maldives,MDV,0.0025892062464600695,0.005657212992471623,0.4576822986699766,0.0
Mali,MLI,0.0025622353480594436,0.03195485875863355,0.08018296583355043,0.0
Malta,MLT,0.0050705288993176355,0.015106991580493036,0.33564120773489914,0.0
Mauritania,MRT,0.007983385926585216,0.01353073733267036,0.5900185429887178,1.0
Mauritius,MUS,0.010761388461849665,0.021964109727844117,0.4899533190825097,0.0
Mexico,MEX,1.3679100250829355,1.8838035008118839,0.7261426281952401,1.0
Moldova,MDA,0.022277962078916847,0.018913048525789934,1.1779149219935907,1.0
Mongolia,MNG,0.06945006338161125,0.030934542108411737,2.2450651811240596,2.0
Morocco,MAR,0.1660867923510532,0.2319144142394319,0.7161555390842707,1.0
Mozambique,MOZ,0.020902446260484937,0.02881857492405585,0.7253115851692219,1.0
Myanmar,MMR,0.07675917684818082,0.255994344005656,0.2998471593047574,0.0
Namibia,NAM,0.011597486312269062,0.020727907287531173,0.5595107191185433,1.0
Nepal,NPL,0.022170078485314347,0.0615278268193578,0.3603260448382882,0.0
Netherlands,NLD,0.47137039134773584,0.7243401987367244,0.6507582930918688,1.0
New Zealand,NZL,0.09922593521590203,0.15061260323355063,0.6588156175883583,1.0
Nicaragua,NIC,0.01596677185317043,0.028211470536775616,0.5659673724684657,1.0
Niger,NER,0.006742724600156431,0.016999263810182345,0.3966480357883277,0.0
Nigeria,NGA,0.255818971329935,0.8730897422948731,0.29300421129393583,0.0
Norway,NOR,0.12660139709253715,0.25493695275535494,0.4965988481631676,0.0
Oman,OMN,0.21150578525770694,0.14887540497074886,1.4206899071022763,1.0
Pakistan,PAK,0.5321358254443456,0.8478475367678479,0.6276315049200308,1.0
Palau,PLW,0.003802896674488227,0.00025076241638373746,15.165337490881086,15.0
Panama,PAN,0.033066321439167136,0.07808146807237809,0.4234848838717544,0.0
Papua New Guinea,PNG,0.01173234080427219,0.027989080085150685,0.419175648809432,0.0
Paraguay,PRY,0.017638967554009222,0.06920618524080707,0.25487559374401836,0.0
Peru,PER,0.1508482347546997,0.3364539712383365,0.4483473153831261,0.0
Philippines,PHL,0.3699058715645819,0.6815007031146815,0.542781349856267,1.0
Poland,POL,0.8604525716751625,0.883065424626883,0.9743927773400539,1.0
Portugal,PRT,0.15311379022035226,0.2605168087139605,0.5877309451785375,1.0
Puerto Rico,PRI,0.005825714054535157,0.10076371462090077,0.057815594397775075,0.0
Qatar,QAT,0.263748415459719,0.2637853208300638,0.9998600931612546,1.0
Romania,ROU,0.2188148987242765,0.40472834911780475,0.540646335254825,1.0
Russia,RUS,4.760012946031232,2.9395865219519397,1.6192797560081664,2.0
Rwanda,RWA,0.0029937697224694556,0.019382524579490808,0.15445716115006233,0.0
Saint Kitts and Nevis,KNA,0.0006473015616150174,0.001231328314156301,0.5256937196790968,1.0
Saint Lucia,LCA,0.0009709523424225261,0.00190768120858033,0.5089699149183817,1.0
Saint Vincent and the Grenadines,VCT,0.00048547617121126303,0.0010048685905852557,0.48312403806801435,0.0
Samoa,WSM,0.00040456347600938586,0.0010134945343516196,0.39917677135595436,0.0
Sao Tome and Principe,STP,0.00043153437441001164,0.0005329916343337503,0.8096456803668933,1.0
Saudi Arabia,SAU,1.7227931062383688,1.3807463115613807,1.247726024551312,1.0
Senegal,SEN,0.026134800550206328,0.04260132464009074,0.6134738947908607,1.0
Serbia,SRB,0.16854114410551016,0.09899698222945623,1.7024876951790686,2.0
Seychelles,SYC,0.0026161771448606954,0.0021640506079416994,1.208926046026728,1.0
Sierra Leone,SLE,0.0035331876904819703,0.008985380008235375,0.39321516588543787,0.0
Singapore,SGP,0.14839388300024275,0.420997102079821,0.35248195834874724,0.0
Slovakia,SVK,0.10208485044636836,0.1367965939726368,0.746252866988693,1.0
Slovenia,SVN,0.04102273646735173,0.058041469818122485,0.7067832120016896,1.0
Solomon Islands,SLB,0.00040456347600938586,0.0011560098832285783,0.3499654128211215,0.0
South Africa,ZAF,1.261294063705262,0.596029150124696,2.1161617069255505,2.0
South Korea,KOR,1.8160045311109314,1.5523917553005524,1.1698107290961115,1.0
Spain,ESP,0.761550287240068,1.413128433025413,0.5389108798905419,1.0
Sri Lanka,LKA,0.06467621436470049,0.21456107774661456,0.30143498086395576,0.0
Sudan,SDN,0.05680071203171777,0.16999449713082593,0.3341326512940272,0.0
Suriname,SUR,0.0059605685465382845,0.006649538524469168,0.8963883019256763,1.0
Eswatini,SWZ,0.0033713623000782155,0.009198195874542587,0.36652429955410887,0.0
Sweden,SWE,0.13720096016398306,0.40167970601260167,0.34156806557630454,0.0
Switzerland,CHE,0.10718235024408665,0.4353515184946354,0.2461972582861392,0.0
Tajikistan,TJK,0.015373412088356663,0.022192085244691677,0.6927430171093979,1.0
Tanzania,TZA,0.03951236615691669,0.1274098187440274,0.31012026032545403,0.0
Thailand,THA,0.7532971923294766,0.9634224981159635,0.7818970325092045,1.0
The Gambia,GMB,0.001483399412034415,0.0027729181170511137,0.5349596884642055,1.0
Timor-Leste,TLS,0.0011327777328262805,0.007163457665503873,0.15813281598371834,0.0
Togo,TGO,0.007659735145777705,0.010064719697311071,0.7610480347330596,1.0
Tonga,TON,0.0003775925776087602,0.0005009527118472882,0.7537489441196329,1.0
Trinidad and Tobago,TTO,0.10181514146236212,0.03379590162532145,3.0126475864185114,3.0
Tunisia,TUN,0.08530895164117916,0.107012500679807,0.7971867875177759,1.0
Turkey,TUR,1.1585619116972785,1.7566290895247565,0.6595370181480481,1.0
Turkmenistan,TKM,0.19545810070933461,0.08066318087528067,2.423139015699702,2.0
Turks and Caicos Islands,TCA,0.00045850527281063736,0.0006884013317225144,0.6660435587237574,1.0
Uganda,UGA,0.013593332793915364,0.06221264010472913,0.21849792535780937,0.0
Ukraine,UKR,0.5548453218976724,0.28696091303908694,1.9335222906197576,2.0
United Arab Emirates,ARE,0.5469698195646897,0.5406928593071407,1.0116091051499967,1.0
United Kingdom,GBR,1.0226016128597244,2.304196157342304,0.4437997214782308,0.0
United States,USA,13.775089678237181,15.138641784435139,0.9099290328938294,1.0
Uruguay,URY,0.01869083259163363,0.06068427694016921,0.30800124075073987,0.0
Uzbekistan,UZB,0.2571675162499663,0.1671998943385672,1.5380842031468123,2.0
Vanuatu,VUT,0.00024273808560563152,0.0006899261838353547,0.3518319659303712,0.0
Venezuela,VEN,0.3934514658683281,0.42256104666972255,0.9311115375380382,1.0
Vietnam,VNM,0.5899344607168865,0.504022126747104,1.170453496802313,1.0
Yemen,YEM,0.03371362300078216,0.05720609832029398,0.5893361720287464,1.0
Zambia,ZMB,0.013404536505110984,0.05355605653197423,0.250289834112565,0.0
Zimbabwe,ZWE,0.0326078161663565,0.031254906657447186,1.043286307770398,1.0
